Room temp neff,2.52672,Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistance per bridge (kOhm),5.49,7,,,,8,,,,9,,,,10,,,,12,,,,15,,,,18,,,,20,,,,23,,,,24,,,,25,,,,100,,,
Voltage (V),Power (mW),neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2
0.1,0,2.52673,2.52676,0,0,2.52673,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0,2.52672,2.52676,0,0
0.2,30,2.52676,2.52688,0,3.141592654,2.52675,2.52688,0,3.141592654,2.52674,2.52689,0,3.141592654,2.52674,2.52688,0,3.141592654,2.52673,2.52689,0,3.141592654,2.52673,2.52688,0,3.141592654,2.52672,2.52689,0,3.141592654,2.52672,2.52689,0,3.141592654,2.52672,2.52689,0,3.141592654,2.52672,2.52689,0,3.141592654,2.52672,2.52689,0,3.141592654,2.52672,2.52689,0,3.141592654
0.3,30,2.5268,2.52709,0,3.141592654,2.52678,2.52708,0,3.141592654,2.52677,2.5271,0,3.141592654,2.52676,2.52709,0,3.141592654,2.52674,2.5271,0,3.141592654,2.52673,2.52709,0,3.141592654,2.52673,2.52711,0,3.141592654,2.52673,2.5271,0,3.141592654,2.52672,2.5271,0,3.141592654,2.52672,2.5271,0,3.141592654,2.52672,2.5271,0,3.141592654,2.52672,2.5271,0,3.141592654
0.4,30,2.52686,2.52737,0,3.141592654,2.52683,2.52736,0,3.141592654,2.5268,2.52739,0,3.141592654,2.52679,2.52738,0,3.141592654,2.52676,2.5274,0,3.141592654,2.52674,2.52737,0,3.141592654,2.52674,2.5274,0,3.141592654,2.52673,2.5274,0,3.141592654,2.52673,2.5274,0,3.141592654,2.52673,2.5274,0,3.141592654,2.52673,2.52739,0,3.141592654,2.52672,2.52739,0,3.141592654
0.5,30,2.52694,2.52773,0,3.141592654,2.52689,2.52772,0,3.141592654,2.52685,2.52776,0,3.141592654,2.52682,2.52774,0,3.141592654,2.52679,2.52777,0,3.141592654,2.52676,2.52773,0,3.141592654,2.52674,2.52778,0,3.141592654,2.52674,2.52777,0,3.141592654,2.52673,2.52778,0,3.141592654,2.52673,2.52777,0,3.141592654,2.52673,2.52777,0,3.141592654,2.52672,2.52777,0,3.141592654
0.6,30,2.52704,2.52816,0,3.141592654,2.52696,2.52815,0,3.141592654,2.52691,2.5282,0,3.141592654,2.52687,2.52818,0,3.141592654,2.52682,2.52823,0,3.141592654,2.52678,2.52817,0,3.141592654,2.52675,2.52824,0,3.141592654,2.52675,2.52823,0,3.141592654,2.52674,2.52823,0,3.141592654,2.52673,2.52823,0,3.141592654,2.52673,2.52822,0,3.141592654,2.52672,2.52822,0,3.141592654
0.7,30,2.52715,2.52867,0,3.141592654,2.52704,2.52866,0,3.141592654,2.52697,2.52872,0,3.141592654,2.52692,2.52869,0,3.141592654,2.52685,2.52876,0,3.141592654,2.5268,2.52868,0,3.141592654,2.52677,2.52877,0,3.141592654,2.52675,2.52875,0,3.141592654,2.52674,2.52877,0,3.141592654,2.52674,2.52876,0,3.141592654,2.52674,2.52874,0,3.141592654,2.52672,2.52875,0,3.141592654
0.8,30,2.52728,2.52925,0,3.141592654,2.52714,2.52923,0,3.141592654,2.52705,2.52931,0,3.141592654,2.52698,2.52927,0,3.141592654,2.52689,2.52936,0,3.141592654,2.52682,2.52925,0,3.141592654,2.52678,2.52937,0,3.141592654,2.52676,2.52935,0,3.141592654,2.52675,2.52937,0,3.141592654,2.52675,2.52936,0,3.141592654,2.52674,2.52934,0,3.141592654,2.52672,2.52934,0,3.141592654
0.9,30,2.52742,2.52989,0,3.141592654,2.52725,2.52986,0,3.141592654,2.52713,2.52997,0,3.141592654,2.52704,2.52992,0,3.141592654,2.52694,2.53002,0,3.141592654,2.52684,2.52989,0,3.141592654,2.5268,2.53004,0,3.141592654,2.52678,2.53002,0,3.141592654,2.52676,2.53004,0,3.141592654,2.52675,2.53002,0,3.141592654,2.52675,2.53,0,3.141592654,2.52672,2.53001,0,3.141592654
1,30,2.52757,2.53059,0,3.141592654,2.52736,2.53056,0,3.141592654,2.52722,2.53068,0,3.141592654,2.52711,2.53063,0,3.141592654,2.52699,2.53075,0,3.141592654,2.52687,2.5306,0,3.141592654,2.52681,2.53078,0,3.141592654,2.52679,2.53075,0,3.141592654,2.52677,2.53077,0,3.141592654,2.52676,2.53075,0,3.141592654,2.52676,2.53072,0,3.141592654,2.52672,2.53073,0,3.141592654
1.1,30,2.52774,2.53135,0,3.141592654,2.52749,2.53131,0,3.141592654,2.52732,2.53146,0,3.141592654,2.52719,2.5314,0,3.141592654,2.52704,2.53154,0,3.141592654,2.5269,2.53136,0,3.141592654,2.52683,2.53157,0,3.141592654,2.5268,2.53153,0,3.141592654,2.52678,2.53156,0,3.141592654,2.52677,2.53154,0,3.141592654,2.52676,2.53151,0,3.141592654,2.52672,2.53152,0,3.141592654
1.2,30,2.52792,2.53216,0,3.141592654,2.52763,2.53212,0,3.141592654,2.52743,2.53229,0,3.141592654,2.52727,2.53222,0,3.141592654,2.5271,2.53239,0,3.141592654,2.52693,2.53217,0,3.141592654,2.52685,2.53242,0,3.141592654,2.52682,2.53238,0,3.141592654,2.52679,2.53241,0,3.141592654,2.52678,2.53239,0,3.141592654,2.52677,2.53235,0,3.141592654,2.52672,2.53236,0,3.141592654
1.3,30,2.52811,2.53302,0,3.141592654,2.52777,2.53297,0,3.141592654,2.52754,2.53317,0,3.141592654,2.52736,2.53309,0,3.141592654,2.52716,2.53328,0,3.141592654,2.52697,2.53303,0,3.141592654,2.52687,2.53332,0,3.141592654,2.52683,2.53327,0,3.141592654,2.5268,2.53331,0,3.141592654,2.52679,2.53328,0,3.141592654,2.52678,2.53323,0,3.141592654,2.52672,2.53325,0,3.141592654
1.4,30,2.52831,2.53393,0,3.141592654,2.52792,2.53387,0,3.141592654,2.52766,2.5341,0,3.141592654,2.52745,2.53401,0,3.141592654,2.52722,2.53422,0,3.141592654,2.527,2.53394,0,3.141592654,2.52689,2.53427,0,3.141592654,2.52685,2.53421,0,3.141592654,2.52681,2.53425,0,3.141592654,2.5268,2.53423,0,3.141592654,2.52679,2.53417,0,3.141592654,2.52672,2.53419,0,3.141592654
1.5,30,2.52852,2.53488,0,3.141592654,2.52808,2.53481,0,3.141592654,2.52778,2.53507,0,3.141592654,2.52755,2.53497,0,3.141592654,2.52728,2.5352,0,3.141592654,2.52704,2.53489,0,3.141592654,2.52692,2.53526,0,3.141592654,2.52687,2.53519,0,3.141592654,2.52682,2.53524,0,3.141592654,2.52681,2.53521,0,3.141592654,2.5268,2.53515,0,3.141592654,2.52672,2.53518,0,3.141592654
1.6,30,2.52874,2.53587,0,3.141592654,2.52824,2.53579,0,3.141592654,2.52791,2.53608,0,3.141592654,2.52765,2.53597,0,3.141592654,2.52735,2.53623,0,3.141592654,2.52708,2.53588,0,3.141592654,2.52694,2.5363,0,3.141592654,2.52688,2.53622,0,3.141592654,2.52683,2.53626,0,3.141592654,2.52682,2.53624,0,3.141592654,2.5268,2.53616,0,3.141592654,2.52672,2.5362,0,3.141592654
1.7,30,2.52896,2.5369,0,3.141592654,2.52841,2.53681,0,3.141592654,2.52805,2.53712,0,3.141592654,2.52776,2.537,0,3.141592654,2.52742,2.53729,0,3.141592654,2.52712,2.5369,0,3.141592654,2.52697,2.53736,0,3.141592654,2.5269,2.53727,0,3.141592654,2.52684,2.53733,0,3.141592654,2.52683,2.5373,0,3.141592654,2.52681,2.53721,0,3.141592654,2.52672,2.53725,0,3.141592654
1.8,30,2.5292,2.53795,0,3.141592654,2.52859,2.53786,0,3.141592654,2.52818,2.5382,0,3.141592654,2.52786,2.53807,0,3.141592654,2.5275,2.53838,0,3.141592654,2.52716,2.53796,0,3.141592654,2.52699,2.53846,0,3.141592654,2.52692,2.53837,0,3.141592654,2.52685,2.53842,0,3.141592654,2.52684,2.53839,0,3.141592654,2.52682,2.5383,0,3.141592654,2.52672,2.53835,0,3.141592654
1.9,30,2.52944,2.53904,0,3.141592654,2.52877,2.53893,0,3.141592654,2.52832,2.5393,0,3.141592654,2.52797,2.53917,0,3.141592654,2.52757,2.53949,0,3.141592654,2.5272,2.53904,0,3.141592654,2.52702,2.53959,0,3.141592654,2.52694,2.53948,0,3.141592654,2.52687,2.53954,0,3.141592654,2.52685,2.53952,0,3.141592654,2.52683,2.53941,0,3.141592654,2.52672,2.53946,0,3.141592654
2,30,2.52968,2.54015,0,3.141592654,2.52896,2.54003,0,3.141592654,2.52847,2.54043,0,3.141592654,2.52809,2.54029,0,3.141592654,2.52765,2.54064,0,3.141592654,2.52725,2.54015,0,3.141592654,2.52705,2.54075,0,3.141592654,2.52696,2.54063,0,3.141592654,2.52688,2.54069,0,3.141592654,2.52686,2.54067,0,3.141592654,2.52684,2.54055,0,3.141592654,2.52672,2.54061,0,3.141592654
2.1,30,2.52993,2.54129,0,3.141592654,2.52914,2.54116,0,3.141592654,2.52862,2.54158,0,3.141592654,2.5282,2.54143,0,3.141592654,2.52772,2.54181,0,3.141592654,2.52729,2.54129,0,3.141592654,2.52707,2.54193,0,3.141592654,2.52698,2.5418,0,3.141592654,2.52689,2.54186,0,3.141592654,2.52687,2.54184,0,3.141592654,2.52685,2.54171,0,3.141592654,2.52672,2.54178,0,3.141592654
2.2,30,2.53019,2.54245,0,3.141592654,2.52934,2.54231,0,3.141592654,2.52877,2.54276,0,3.141592654,2.52832,2.5426,0,3.141592654,2.5278,2.543,0,3.141592654,2.52733,2.54244,0,3.141592654,2.5271,2.54313,0,3.141592654,2.527,2.54299,0,3.141592654,2.52691,2.54306,0,3.141592654,2.52688,2.54303,0,3.141592654,2.52687,2.54289,0,3.141592654,2.52672,2.54297,0,3.141592654
2.3,30,2.53045,2.54362,0,3.141592654,2.52953,2.54347,0,3.141592654,2.52892,2.54395,0,3.141592654,2.52844,2.54379,0,3.141592654,2.52788,2.5442,0,3.141592654,2.52738,2.54361,0,3.141592654,2.52713,2.54435,0,3.141592654,2.52702,2.5442,0,3.141592654,2.52692,2.54427,0,3.141592654,2.5269,2.54424,0,3.141592654,2.52688,2.54409,0,3.141592654,2.52672,2.54418,0,3.141592654
2.4,30,2.53071,2.54481,0,3.141592654,2.52973,2.54465,0,3.141592654,2.52907,2.54516,0,3.141592654,2.52856,2.54499,0,3.141592654,2.52797,2.54542,0,3.141592654,2.52743,2.5448,0,3.141592654,2.52716,2.54558,0,3.141592654,2.52704,2.54542,0,3.141592654,2.52694,2.54549,0,3.141592654,2.52691,2.54547,0,3.141592654,2.52689,2.54531,0,3.141592654,2.52672,2.5454,0,3.141592654
2.5,30,2.53097,2.54602,0,3.141592654,2.52993,2.54585,0,3.141592654,2.52923,2.54638,0,3.141592654,2.52868,2.54621,0,3.141592654,2.52805,2.54666,0,3.141592654,2.52747,2.546,0,3.141592654,2.52719,2.54683,0,3.141592654,2.52706,2.54666,0,3.141592654,2.52695,2.54673,0,3.141592654,2.52692,2.54672,0,3.141592654,2.5269,2.54654,0,3.141592654,2.52672,2.54665,0,3.141592654
2.6,30,2.53124,2.54724,0,3.141592654,2.53013,2.54705,0,3.141592654,2.52939,2.54762,0,3.141592654,2.52881,2.54744,0,3.141592654,2.52813,2.54791,0,3.141592654,2.52752,2.54722,0,3.141592654,2.52722,2.5481,0,3.141592654,2.52709,2.54791,0,3.141592654,2.52697,2.54799,0,3.141592654,2.52693,2.54797,0,3.141592654,2.52691,2.54778,0,3.141592654,2.52672,2.5479,0,3.141592654
2.7,30,2.53152,2.54847,0,3.141592654,2.53034,2.54827,0,3.141592654,2.52955,2.54887,0,3.141592654,2.52893,2.54868,0,3.141592654,2.52822,2.54917,0,3.141592654,2.52757,2.54845,0,3.141592654,2.52725,2.54937,0,3.141592654,2.52711,2.54917,0,3.141592654,2.52698,2.54925,0,3.141592654,2.52695,2.54924,0,3.141592654,2.52692,2.54904,0,3.141592654,2.52672,2.54916,0,3.141592654
2.8,30,2.53179,2.54972,0,3.141592654,2.53055,2.5495,0,3.141592654,2.52971,2.55012,0,3.141592654,2.52906,2.54993,0,3.141592654,2.5283,2.55044,0,3.141592654,2.52762,2.54968,0,3.141592654,2.52728,2.55066,0,3.141592654,2.52713,2.55044,0,3.141592654,2.527,2.55052,0,3.141592654,2.52696,2.55052,0,3.141592654,2.52693,2.5503,0,3.141592654,2.52672,2.55044,0,3.141592654
2.9,30,2.53206,2.55097,0,3.141592654,2.53075,2.55074,0,3.141592654,2.52987,2.55139,0,3.141592654,2.52919,2.55119,0,3.141592654,2.52839,2.55172,0,3.141592654,2.52766,2.5507,0,3.141592654,2.52731,2.55195,0,3.141592654,2.52715,2.55172,0,3.141592654,2.52701,2.5518,0,3.141592654,2.52697,2.5518,0,3.141592654,2.52694,2.55157,0,3.141592654,2.52672,2.55172,0,3.141592654
3,30,2.53234,2.55223,0,3.141592654,2.53096,2.55198,0,3.141592654,2.53003,2.55266,0,3.141592654,2.52931,2.55246,0,3.141592654,2.52847,2.553,0,3.141592654,2.52771,2.55194,0,3.141592654,2.52734,2.55325,0,3.141592654,2.52717,2.55301,0,3.141592654,2.52702,2.55285,0,3.141592654,2.52699,2.55309,0,3.141592654,2.52696,2.55285,0,3.141592654,2.52672,2.55301,0,3.141592654